CASES	LEFT	NODE	RIGHT	TRANSLATION	TRANSLATION_NODE	TRANSLATION_POS
105	He disarmed me, held me at gunpoint then he	stole	my damn ride.	Dia melucutiku, menodongku dan mencuri kendaraanku.	mencuri	verb
107	Until stagg	stole	my research.	Sampai Stagg mencuri penelitianku.	mencuri	verb
112	I know you	stole	our routine.	Saya tahu kau mencuri rutinitas kami.	mencuri	verb
113	She broke into my desk, and she	stole	our vacation money.	dan mencuri uang liburan kita.	mencuri	verb
114	Dude, the fucking midgets just	stole	our women.	Teman, mereka mencuri wanita kami.	mencuri	verb
115	You	stole	parts for your old cars.	Kakek juga dulu curi onderdil buat mobilnya.	curi	verb
120	You	stole	that treasure from them!	Kau mencuri harta itu dari mereka!	mencuri	verb
121	You	stole	the CIA's electromagnetic bullet shield.	Anda mencuri elektromagnetik perisai peluru CIA.	mencuri	verb
124	Somebody had to tell you who	stole	the goods.	Seseorang harus memberitahu Anda yang mencuri barang.	mencuri	verb
125	Two hours ago, unknown persons	stole	the hard drive from Deputy Director Rovick's home in Dupont Circle.	2 jam yang lalu, orang tak dikenal mencuri cakram keras... dari rumah Deputi Direktur Rovick di Dupont Circle.	mencuri	verb
129	They ambushed Jin We and	stole	the sacred orb.	Mereka menyerang Jin We dan mencuri bola keramatnya.	mencuri	verb
133	I can't believe you guys	stole	this from her house.	Aku tak percaya kalian Mengambil ini dari rumahnya.	mengambil	verb
135	I	stole	this woman's body so that I could come see you.	Aku mencuri tubuh gadis ini untuk bertemu denganmu.	mencuri	verb
136	Sorry I can't take you back to where I	stole	you for maintenance.	Maaf aku tak bisa mengembalikanmu Ke tempat aku mencurimu.	mencuri	verb
137	And I think, he felt like I	stole	you from him.	Dan kupikir, dia merasa sepertinya aku mencuri kamu darinya.	mencuri	verb
139	So I	stole	your files.	Jadi kucuri file-mu.	curi	verb
140	Well, he	stole	your husband's ID and started impersonating him.	Dia mencuri identitas suamimu dan mulai meniru dia.	mencuri	verb
143	That, and nobody	steals	beef barley soup.	Itu, dan tak seorangpun mau mencuri sup barley sapi.	mencuri	verb
144	She	steals	clothes, identities--	Dia mencuri pakaian, identitas - b Apa sih yang terjadi di sini?	mencuri	verb
146	He	steals	from gaming tables and steals a girl's heart	Dia mencuri dari meja judi dan mencuri hati para wanita	mencuri	verb
149	He	steals	our phone chargers.	Dia mencuri pengisi baterai telepon kami.	mencuri	verb
152	You're	stealing	?	Anda mencuri?	mencuri	verb
153	Then why did he talk about	stealing	?	Lalu kenapa dia bicara tentang mencuri?	mencuri	verb
158	I think she might be	stealing	.	Kupikir dia mungkin mencuri.	mencuri	verb
159	Taking anything from my land would be considered	stealing	. And you don't want to steal from me, do you?	Menggali sesuatu di tanahku bisa disebut mencuri, dan kau tak ingin mencuri dariku, kan?	mencuri	verb
161	You don't know the first thing about	stealing	' a car!	Kau tidak tahu apa-apa tentang cara mencuri mobil!	mencuri	verb
164	"""- It's streaming right now. - They are planting a virus and"	stealing	a whole lot of data from your system at the same time.	Mereka menyebar virus dan sekaligus mencuri data dari sistemmu.	mencuri	verb
168	Am I the only one who feels funny about	stealing	from a...?	Atau aku hanya merasa tak nyaman untuk mencuri dari seseorang...?	mencuri	verb
174	Rohan is good at	stealing	hearts!	Rohan yang baik pada mencuri hati!	mencuri	verb
175	Is Willie Bank know you're	stealing	his gold flatware, Neil?	Apa Willy Bank tahu kau curi sendok garpu emasnya, Neil?	curi	verb
177	James - James Van Der Beek. What's up with Pacey	stealing	Joey away from you?	James, tepatnya, James Van Der Beek./ Kenapa Pacey mencuri Joey darimu?	mencuri	verb
178	She and her father are responsible for	stealing	medicine from wounded Japanese soldiers and smuggling it to American prisoners of war.	Dia dan ayahnya Bertanggung jawab atas pencurian obat Dari tentara Jepang yang terluka	pencurian	noun
180	I love that we live in a city where the police are more interested in catching you than the drug-	stealing	mobsters.	Aku suka hidup di kota di mana polisinya lebih tertarik menangkapmu dibandingkan pencuri obatnya.	pencuri	noun
181	Right now yöu're	stealing	my dialogue.	Sekarang kau mencuri dialogku.	mencuri	verb
182	Are you	stealing	secrets from MBI?	Kau mencuri rahasia MBI?	mencuri	verb
184	Never did get you for	stealing	that money?	Kau tak pernah tertangkap mencuri uang itu?	mencuri	verb
193	"""-"	stealing	up at his store.	"""- mencuri di tokonya."	mencuri	verb
195	for	stealing	wood.	karena mencuri kayu.	mencuri	verb
197	This is one big family, like sisters and brothers, because you have this close relationship, but it's not really close, like	stealing	your heart from your best friend.	Ini adalah salah satu keluarga besar, seperti saudara dan saudara-saudara, karena Anda telah hubungan sedekat ini, tapi bukan sangat dekat, seperti mencuri hati dari teman terbaik Anda.	mencuri	verb
204	What did he	steal	?	Apa yang dia curi?	curi	verb
206	I don't want to	steal	.	Aku tak mau mencuri.	mencuri	verb
207	He thought if they were on his arms, he would have a copy that no one else could	steal	.	Dia pikir jika itu dirajahkan di kedua lengannya, itu artinya dia memiliki salinannya. sehingga tak ada seorang pun yang dapat mencurinya.	mencuri	verb
209	We can't do anything but	steal	.	Kami tak bisa melakukan apapun selain mencuri.	mencuri	verb
211	"""- It is always wrong to"	steal	.	"""- Pencurian adalah pencurian, dan selalu salah ."	pencurian	noun
212	I sniff. I	steal	.	Aku menghisap kokain, mencuri, aku membunuh.	mencuri	verb
214	Some folk say a nigger don't	steal	~	Ada yang bilang, Negro tak mencuri	mencuri	verb
216	If you come perhaps we could both	steal	a boat, hmm?	Jika kau ikut mungkin kita bisa mencuri perahu.	mencuri	verb
218	Any of you beauties know where I can	steal	a horse for a good cause?	Setiap dari Anda tahu di mana keindahan Aku bisa mencuri kuda untuk tujuan mulia?	mencuri	verb
223	Did you manage to	steal	any firecrackers?	Kau berhasil mencuri petasan?	mencuri	verb
224	They didn't	steal	anything else?	Mereka tidak mencuri apa-apa lagi? / Tidak.	mencuri	verb
225	..Where you can't	steal	anything from us.	... di mana kau tidak bisa mencuri sesuatu dari kami.	mencuri	verb
229	I know you're here to	steal	Chapple's money.	Aku tahu kalian disini ingin mencuri uang Chapple.	mencuri	verb
231	I can't	steal	files from her boss's office right now.	Aku tidak bisa mencuri berkas dari kantor atasannya saat ini.	mencuri	verb
233	They all flatter me and now it's difficult to find a target to	steal	from	Mereka semua menyanjung saya dan sekarang sulit untuk menemukan target untuk mencuri dari	mencuri	verb
235	And technically she did	steal	hardware.	Dan secara teknis dia mencuri hardware.	mencuri	verb
236	Do you	steal	her cell phone?	Kau mencuri ponselnya?	mencuri	verb
237	Me and the boys take off, we break into your Mom's house, and we	steal	her computer.	Aku dan anak-anak pergi, kami menerobos masuk ke rumah ibumu, dan mencuri komputer dia.	mencuri	verb
239	Your rivals tried to	steal	it and put out a clone.	Para pesaingmu sedang mencoba untuk mencurinya Dan menconteknya.	mencuri	verb
240	We're gonna	steal	it back.	Kami akan mencurinya kembali.	mencuri	verb
241	When the egg goes on display Monday morning you'll have 48 hours to	steal	it before your deadline's up.	Ketika telur itu dipamerkan Senin pagi kau punya waktu 48 jam untuk mencurinya sebelum tenggat waktumu habis.	mencuri	verb
242	You want me to	steal	it for you.	Kau mau aku mencurinya?	mencuri	verb
246	It was until Shadowspire tried to	steal	it.	Memang, sampai Shadowspire mencoba untuk mencurinya.	mencuri	verb
253	How dare you try to	steal	my egg?	Beraninya kau mencoba mencuri telurku?	mencuri	verb
255	Did you have to	steal	my nutcracker?	Apakah Kamu harus mencuri alat pemecah buah keras saya?	mencuri	verb
256	Let the stealer	steal	"no more."""	"Hingga tak ada lagi yang harus dicuri oleh pencuri."""	dicuri	verb
259	This camera doesn't just	steal	people's youth.	Kamera ini tidak hanya mencuri masa muda orang-orang.	mencuri	verb
261	I was born to	steal	shit.	Aku sudah ditakdirkan mencuri semua itu.	mencuri	verb
262	Watched him	steal	some guy's Frisbee.	Melihatnya mencuri Frisbee.	mencuri	verb
264	I'm gonna go take a dump now. If anyone wanna	steal	something from this company,	Aku mau pulang sekarang, jika ada yang ingin mencuri sesuatu dari perusahaan ini,	mencuri	verb
265	"""- No. Cady, you gotta"	steal	that book.	/ Tunggu, Cady, kau harus mencuri buku itu.	mencuri	verb
266	So did Lane	steal	that crystal?	Jadi, apa benar Lane mencuri kristal itu?	mencuri	verb
268	Told you I was gonna	steal	that one.	Sudah kubilang aku akan mencuri kutipan itu.	mencuri	verb
271	Did my brother send you to	steal	the crown piece?	Apakah kakakku mengirim kamu untuk mencuri potongan mahkota?	mencuri	verb
274	Two masked men came to	steal	the goods	Dua pria bertopeng datang mencuri barang	mencuri	verb
275	"""- I break in, I"	steal	the jewels.	"""- Aku menerobos masuk, mencuri perhiasan itu"	mencuri	verb
276	You are not going to	steal	the life of some innocent man.	Kau tak mungkin merenggut hidup orang tidak bersalah.	merenggut	verb
279	They came to	steal	the rice	Mereka datang untuk mencuri beras	mencuri	verb
281	How many should I tell him that he should say to	steal	the show.	Berapa banyak harus aku katakan padanya bahwa ia harus mengatakan untuk mencuri perhatian .	mencuri	verb
282	He was probably trying to	steal	the TV.	Mungkin mau mencuri TV.	mencuri	verb
283	The Fire Ferrets come from way behind and	steal	the win.	Fire Ferrets beranjak naik dan mencuri kemenangan!	mencuri	verb
284	It is cookie for staff , and you rub frequently people beat them up and	steal	their money ..	Brutal untuk memulai. Orang-orang memukuli, mencuri uang mereka ..	mencuri	verb
287	Otherwise they'll	steal	them themselves.	Kalau tidak mereka akan mencurinya sendiri.	mencuri	verb
289	Did someone	steal	them?	Apakah seseorang mencuri mereka ?	mencuri	verb
290	And you	steal	things.	Dan kau mencuri.	mencuri	verb
291	I didn't	steal	this food.	Aku tidak mencuri makanannya	mencuri	verb
294	Some bum's always trying to	steal	what's mine.	Beberapa gelandangan selalu berusaha untuk mencuri milikku.	mencuri	verb
296	If you take one more step towards me... I'm going to	steal	you from Chan Young!	Jika kau melangkah selangkah lagi aku akan merebutmu dari Yoon Chan Young!	merebut	verb
299	Anybody can go on your page and	steal	your photos to create a fake account.	Tiap orang bisa mengaku sebagai dirimu. dan mencuri fotomu, untuk membuat akun palsu.	mencuri	verb
